,company_brand,founded,headquarter,sector,what_it_does,investor,amount($),stage,year
2507,Articbot,2016,Kannur,Technology,Articbot is a conversational AI platform for automated customer support and lead generation,Inflection Point Ventures,17578.8,Grant,2018
2508,BuildSupply,2016,Gurgaon,Commerce,India’s most advanced ERP system for the real estate,Inflection Point Ventures,3662250.0,Series A,2018
2509,Fusion Microfinance,2016,New Delhi,Finance,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,Venture Catalysts,76174800.0,Series E,2018
2510,Any time Doctor,2016,Chennai,Technology,Anytime Doctor is a Software company.,Inflection Point Ventures,3000000.0,Angel,2018
2511,Go Payments,2016,Mumbai,Information,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,Data Point Capital,3000000.0,Corporate Round,2018
2512,Guiddoo World,2016,Mumbai,Media and Entertainment,We build In-Destination Experiences!, Times Internet,800000.0,Seed,2018
2513,ION Energy,2016,Mumbai,Energy,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,Blue Ashva Capital,1041000.0,Venture - Series Unknown,2018
2514,UnoTag,2016,Bangalore,Technology,SaaS to verify counterfeit,Inflection Point Ventures,100000.0,Pre-seed,2018
2515,CivilCops,2016,Gurgaon,Government,Gov-Tech,Baring PE India,100000.0,Pre-seed,2018
2516,Rockmetric,2016,Mumbai,Technology,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",Inflection Point Ventures,3000000.0,Grant,2018
2517,Classworks India,2016,Chennai,Education,"Saas, Web App, Mobile App, School Education",Inflection Point Ventures,1464.9,Venture - Series Unknown,2018
2518,Snapmint,2016,Mumbai,Commerce,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",Inflection Point Ventures,3000000.0,Seed,2018
2519,artbandhu,2016,Bangalore,Media and Entertainment,Ai platform for Art and Creative Community, Times Internet,15000.0,Pre-seed,2018
2520,Survaider,2016,Bangalore,Commerce,Stethoscope for customer feedback !,Inflection Point Ventures,500000.0,Seed,2018
2521,Credy,2016,Bangalore,Finance,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,Venture Catalysts,1400000.0,Seed,2018
2522,iChamp,2016,Gurgaon,Technology,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,Inflection Point Ventures,5000000.0,Seed,2018
2523,Qandle,2016,Gurgaon,Technology,A cloud-based HR management and employee engagement platform.,Inflection Point Ventures,1200000.0,Seed,2018
2524,Avishkaar Box,2016,Delhi,Children,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",Unknown,732450.0,Seed,2018
2525,Gegadyne Energy,2016,Mumbai,Transport,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,CDC Group,3000000.0,Angel,2018
2526,HyperXchange,2016,Pune,Commerce,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,Inflection Point Ventures,1000000.0,Series A,2018
2527,Deftouch,2016,Bangalore,Others,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,Inflection Point Ventures,3000000.0,Seed,2018
2528,Doodhwala,2016,Bangalore,Food & Beverage,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,Coatue Management,2200000.0,Seed,2018
